"LC284","Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry","209","310"
"LC285","Mechanical Engineering","242","385"
"LC286","Road Transport Technology and Management","186","299"
"LC290","Community Sport Development","155","255"
"LC296","Hotel Front Office Management","178","249"
"LC298","Culinary Arts","148","280"
"LC299","Hospitality Studies","146","261"
"LC413","Marketing and Management (Thurles)","136","339"
"LC423","Sports Strength and Conditioning (Thurles)","169","299"
"LC425","Environmental and Geographic Sciences (Thurles)","201","358"
"LC428","Environmental Management in Agriculture (Thurles)","226","326"
"LC432","Early Childhood Education & Care (Thurles)","163","337"
"LC504","Creative Media and Design (Clonmel)","126","360"
"LC602","Social Care Work (Ennis)","222","327"
"LC603","Early Childhood Education & Care (Ennis)","126","327"
"","University of Limerick","",""
"LM180","Equine Science","338","413"
"","Institute of Technology, Sligo","",""
"SG101","Business","AQA","338"
"SG102","Computing (Level 6 - General Entry)","190","318"
"SG105","Business in Office Administration","AQA","215"
"SG108","Business in Accounting","213","307"
"SG131","Computing - Games Development","168","260"
"SG134","Applied Sport with Business","AQA","236"
"SG135","Business in Tourism with Event Management","187","282"
"SG136","Computing - Software Development","207","295"
"SG137","Computing (Computer Networks and Cloud Infrastructure)","244","290"
"SG138","Computing (Level 7 - General Entry)","271","357"
"SG231","Fine Art","#248","454"
"SG232","Creative Design","207","338"
"SG235","Performing Arts (Theatre Design)","216","431"
"SG236","Performing Arts (Acting)","225","335"
"SG300","Engineering Undenominated","177","270"
"SG301","Civil Engineering","190","270"
"SG302","Construction Economics","161","190"
"SG303","Mechanical Engineering","AQA","318"
"SG305","Electronic and Computer Engineering","179","267"
"SG306","Mechatronics","260","260"
"SG308","Applied Construction Technology","328","336"
"SG330","Engineering Undenominated","233","404"
"SG331","Interior Architecture and Design","213","347"
"SG332","Advanced Wood and Sustainable Building Technology","180","289"
"SG333","Mechanical Engineering","216","309"
"SG334","Mechatronics","288","382"
"SG336","Precision Engineering and Design","263","404"
"SG337","Electronic and Computer Engineering","255","456"
"SG338","Civil Engineering","226","345"
"SG339","Quantity Surveying","188","300"
"SG401","Science","175","339"
"SG403","Applied Archaeology","297","328"
"SG406","Health and Exercise Science","397","456"
"SG431","Pharmaceutical Science with Drug Development","262","378"
"SG432","Environmental Protection","279","362"
"SG433","Occupational Safety and Health","224","339"
"SG434","Human Nutrition","288","409"
