,Course Code,Title,EOS,Mid
47,GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280,367.0
48,GA281,Film and Documentary,287,360.0
49,GA282,Heritage Studies,238,308.0
50,GA283,Contemporary Art,260,340.0
51,GA284,Design,309,377.0
52,GA380,International Hotel Management,225,289.0
53,GA381,International Tourism Management,261,290.0
54,GA382,Culinary and Gastronomic Science,225,316.0
0,GA384,Event Management with Public Relations,209,289.0
1,GA385,Retail Management,219,319.0
2,GA480,Construction Management,260,312.0
3,GA482,Quantity Surveying and Construction Economics,280,340.0
4,GA483,Architectural Technology,251,321.0
5,GA484,Civil Engineering,270,362.0
6,GA580,Software and Electronic Engineering,301,351.0
7,GA680,Mechanical Engineering,336,389.0
8,GA681,Energy Engineering,281,328.0
9,GA682,Biomedical Engineering,331,383.0
10,GA683,Agricultural Engineering,301,365.0
11,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406.0
12,GA780,Applied Freshwater and Marine Biology,300,360.0
13,GA781,Applied Biology and Biopharmaceutical Science,317,376.0
14,GA782,Chemical and Pharmaceutical Science,307,346.0
15,GA783,Physics and Instrumentation,373,378.0
16,GA784,Science (Undenominated),327,377.0
17,GA785,Medical Science,451,486.0
18,GA786,Forensic Science and Analysis,300,366.0
19,GA787,Computing in Software Development,275,327.0
20,GA788,Computing and Digital Media,270,327.0
21,GA789,Agriculture and Environmental Management (Mountbellew Campus),297,339.0
22,GA790,Sport and Exercise Science,350,379.0
23,GA791,Public Health Nutrition,364,397.0
24,GA880,General Nursing - Mayo Campus,389*,400.0
25,GA882,Psychiatric Nursing - Mayo Campus,346,370.0
26,GA885,Outdoor Education - Mayo Campus,210,298.0
27,GA887,History and Geography - Mayo Campus,228,296.0
28,GA889,Applied Social Care - Mayo Campus,260,297.0
29,GA890,Early Childhood Care and Education - Mayo Campus,278,319.0
30,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376,389.0
31,GA981,Furniture Design and Manufacture - Letterfrack Campus,271,350.0
32,GA982,Furniture and Wood Technology - Letterfrack Campus,270,352.0
33,,"National University of Ireland, Galway",,
34,GY101,Arts (Joint-Honours),300,374.0
35,GY104,Arts (Psychology),507,529.0
36,GY105,Arts (History),318,358.0
37,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397.0
38,GY109,Arts (Mathematics and Education),411,487.0
39,GY110,Arts with Children's Studies,382,409.0
40,GY111,Arts with Creative Writing,402,472.0
41,GY112,Arts with Film Studies,338,370.0
42,GY113,Arts with Human Rights,338,409.0
43,GY115,Arts with Performing Arts Studies,328,367.0
44,GY118,"Arts (Drama, Theatre and Performance Studies)",410,451.0
45,GY119,Journalism,410,475.0
46,GY120,"Arts (Child, Youth and Family: Policy and Practice)",309,346.0
47,GY121,Arts (Children's Studies),356,389.0
48,GY122,Na Dána (Cumarsáid agus Gaeilge),308,399.0
49,GY123,BSc (Applied Social Sciences),357,388.0
50,GY124,Arts (Arts with Data Science),434,466.0
51,GY125,Arts (Digital Arts and Technology),324,379.0
52,GY126,Arts (English and Media Studies),418,451.0
53,GY127,Arts (Film and Digital Media),387,435.0
54,GY128,Arts (Global Languages),370,440.0
0,GY129,Arts (International),408,477.0
1,GY130,Arts (Music),400,444.0
2,GY131,Arts (History and Globalisation Studies),340,431.0
3,GY132,"Government (Politics, Economics and Law)",402,444.0
4,GY133,Education (Computer Science and Mathematical  Studies),401,466.0
5,GY201,Commerce,420,453.0
6,GY202,Commerce (International) with French,484,513.0
7,GY203,Commerce (International) with German,489,541.0
8,GY204,Commerce (International) with Spanish,484,500.0
9,GY206,Business Information Systems (Work Placement & Optional Int`l Study),431,445.0
10,GY207,Commerce (Accounting) including optional Global Experience year,486,510.0
11,GY208,Commerce (Gaeilge),473,488.0
12,GY209,Commerce (Global Experience),509,531.0
13,GY250,Law & Business,436,467.0
14,GY251,Law,473,498.0
15,GY252,Law & Human Rights,510,521.0
16,GY261,"Business Studies (International Hotel Management, Shannon)",#486,615.0
17,GY262,"Commerce (International Hotel Management, Shannon)",#671,726.0
18,GY301,Science,400,456.0
19,GY303,Biomedical Science,533,566.0
20,GY304,Biotechnology,473,507.0
21,GY308,Environmental Science,413,440.0
22,GY309,Financial Mathematics and Economics,454,498.0
23,GY310,Marine Science,409,456.0
24,GY313,Environmental Health and Safety,402,435.0
25,GY314,Earth and Ocean Sciences,402,425.0
26,GY318,Biopharmaceutical Chemistry,510,532.0
27,GY319,Mathematical Science,456,531.0
28,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487.0
29,GY350,Computer Science and Information Technology,425,466.0
30,GY401,Engineering (Undenominated),444,499.0
31,GY402,Civil Engineering,509,543.0
32,GY405,Mechanical Engineering,443,499.0
33,GY406,Electronic and Computer Engineering,509,547.0
34,GY408,Biomedical Engineering,519,543.0
35,GY410,Project and Construction Management,434,464.0
36,GY413,Energy Systems Engineering,532,589.0
37,GY414,Electrical and Electronic Engineering,454,487.0
38,GY501,"Medicine (five year/six year course, HPAT required)",#726*,731.0
39,GY502,Occupational Therapy,532,543.0
40,GY503,Speech and Language Therapy,529,543.0
41,GY504,Podiatric Medicine,434,463.0
42,GY515,General Nursing (Galway and Portiuncula),442,466.0
43,GY516,Mental Health Nursing,388,413.0
44,GY517,Midwifery,429,468.0
45,,Letterkenny Institute of Technology,,
46,LY108,Business - Accounting,318,399.0
47,LY118,Business,287,352.0
48,LY208,Law,300,359.0
49,LY218,Business - with Spanish/Irish options,298,367.0
50,LY228,Sports and Exercise (Common Entry),278,330.0
