"LY206","Sports Studies","137","279"
"LY207","Law - with Criminal Justice/Spanish/Irish options","160","330"
"LY317","Culinary Arts at Killybegs, Co Donegal","170","307"
"LY327","Hospitality and Tourism at Killybegs, Co Donegal (Common Entry)","162","260"
"LY336","Bar and Restaurant Supervision at Killybegs, Co Donegal","AQA","146"
"LY406","Photography","AQA","260"
"LY427","Digital Film and Video","170","272"
"LY437","Animation","#169","316"
"LY447","Fashion with Promotion","#266","347"
"LY457","Graphic and Digital Design","#171","296"
"LY507","Quantity Surveying","164","278"
"LY517","Building Services and Renewable Energy","210","298"
"LY527","Civil Engineering","166","351"
"LY547","Architectural Technology","182","291"
"LY607","Electronic/Computer Engineering (Common Entry)","187","302"
"LY617","Mechanical Engineering","180","316"
"LY707","Computer Games Development","234","351"
"LY717","Computing","181","300"
"LY737","Computer Security and Digital Forensics","172","358"
"LY806","Pharmacy Technician","216","377"
"LY816","Dental Nursing","180","307"
"LY817","Bioscience","237","377"
"LY826","Health Science with Physiotherapy Studies","309","440"
"LY836","Health Science with Occupational Therapy Studies","245","382"
"LY837","Food Science and Nutrition","165","347"
"LY846","Health Science with Dietetics Studies","316","440"
"LY847","Veterinary Nursing","347*","378"
"LY867","Pharmaceutical & Medicinal Science","181","357"
"LY877","Agriculture","188","307"
"LY906","Early Childhood Care, Health and Education","135","308"
"LY916","Health and Social Care","147","297"
"","Irish College of Humanities & Applied Sciences","",""
"CI001","Counselling Skills and Psychotherapy Studies (Limerick)","238","368"
"CI002","Counselling Skills and Addiction Studies (Limerick)","236","326"
"CI005","Counselling Skills and Youth Studies (Limerick)","233","328"
"","Limerick Institute of Technology","",""
"LC221","Accounting and Finance","233","444"
"LC222","Marketing and Management","270","398"
"LC228","Sports Development and Coaching","253","329"
"LC230","Business with Computing","232","371"
"LC235","Internet Systems Development","226","298"
"LC251","Civil Engineering","200","366"
"LC253","Construction","172","290"
"LC257","Interior Design","231","369"
"LC260","Applied Biology","260","431"
"LC267","Forensic and Pharmaceutical Sciences","278","440"
"LC268","Medical Technology","287","413"
"LC270","Music Technology and Production","327","389"
"LC271","Electrical Engineering","241","329"
"LC276","Creative Broadcast and Film Production","300","389"
"LC277","Industrial Automation and Robotic Systems","226","364"
"LC278","Renewable and Electrical Energy Engineering","317","403"
"LC279","Electronic Engineering","200","382"
"LC281","Automobile Technology","208","298"
"LC283","Precision Engineering","242","425"
