"DT407","Culinary Arts","271","342"
"DT412","Tourism Marketing","284","322"
"DT413","Event Management","356","389"
"DT416","Culinary Entrepreneurship","275","339"
"DT420","Nutraceuticals in Health and Nutrition","392","432"
"DT421","Food Innovation","321","366"
"DT422","Pharmaceutical Healthcare","397","423"
"DT491","Environmental Health","343","380"
"DT501","Music","#383","520"
"DT504","Film and Broadcasting","443","467"
"DT506","Commercial Modern Music","#468","835"
"DT508","Game Design","403","454"
"DT517","Languages and English Studies","326","419"
"DT518","Languages and International Tourism","307","357"
"DT529","Drama (Performance)","#371","519"
"DT532","Law (LL.B.)","422","441"
"DT533","Contemporary Visual Culture","#",""
"DT544","Interior Design","#552","866"
"DT545","Design - Visual Communication","#667","897"
"DT546","Fine Art","#668","813"
"DT555","International Business and Languages","353","399"
"DT559","Photography","#700","926"
"DT571","Social Care","394","424"
"DT572","Early Childhood Education","385","403"
"DT582","Journalism","347","373"
"DT596","Print Media Technology and Management","252","311"
"DT597","Creative and Cultural Industries","280","369"
"","Dun Laoghaire Institute of Art, Design and Technology","",""
"DL821","English, Media and Cultural Studies","211","317"
"DL822","Arts Management","209","319"
"DL823","Business Studies - Entrepreneurship and Management","260","316"
"DL825","Applied Psychology","349","413"
"DL826","Visual Communication Design","#736","989"
"DL827","Art","#583","902"
"DL828","3D Design, Modelmaking and Digital Art","#691","866"
"DL829","Design for Stage and Screen (Costume Design)","#817","1021"
"DL830","Design for Stage and Screen (Makeup Design)","#879","953"
"DL831","Design for Stage and Screen (Production Design)","#893","1073"
"DL832","Animation","#855","1055"
"DL833","Photography","#636","791"
"DL834","Film and Television Production","#933","1011"
"DL835","Creative Media Technologies","237","289"
"DL836","Creative Computing","217","326"
"DL837","New Media Studies","290","349"
"DL838","Creative Music Production","#746","873"
"","Griffith College","",""
"GC200","Business Studies (Cork)","269","359"
"GC201","Accounting and Finance (Cork)","251","388"
"GC230","Computing Science (Cork)","228","327"
"GC300","Business Studies (Limerick)","251","302"
"GC301","Accounting and Finance","307","314"
"GC302","Business Studies - (HRM, Limerick)","269","269"
"GC305","International Hospitality Management (Limerick)","327","327"
"GC400","Business Studies (Dublin)","246","297"
"GC401","Accounting and Finance (Dublin)","181","309"
