"GC402","Business Studies (HRM, Dublin)","217","290"
"GC403","Law (Dublin)","225","308"
"GC405","International Hospitality Management (Dublin)","254","272"
"GC407","Business Studies (Marketing, Dublin)","246","330"
"GC430","Computing Science (Dublin)","217","269"
"GC450","Journalism and Visual Media (Dublin)","227","307"
"GC462","Design Communication (Dublin)","",""
"GC489","Interior Architecture (Dublin)","#267","361"
"GC494","Fashion Design (Dublin)","#",""
"","ICD Business School","",""
"ID001","Accounting and Finance","229","291"
"ID002","Business Studies","285","366"
"ID003","Business Studies with Chinese","",""
"","Technological University Dublin Blanchardstown Campus","",""
"BN101","Business","252","289"
"BN103","Business and Information Technology","254","290"
"BN104","Computing (Information Technology)","260","293"
"BN107","Applied Social Studies in Social Care","300","328"
"BN108","Engineering (Common Entry with Award options)","271","318"
"BN109","Business (Common Entry with Award options)","260","279"
"BN110","International Business","253","308"
"BN111","Sports Management and Coaching","270","298"
"BN112","Creative Digital Media","280","329"
"BN113","Horticulture","289","321"
"BN114","Accounting and Finance","280","332"
"BN115","Community and Youth Development","250","298"
"BN117","Computer Engineering in Mobile Systems","273","311"
"BN118","Early Childhood Care and Education","290","320"
"BN119","Digital Marketing","270","308"
"BN120","Digital Forensics and Cyber Security","281","326"
"BN121","Mechatronic Engineering","276","340"
"BN123","Design,Technology and Innovation","297","318"
"","Technological University Dublin Tallaght Campus","",""
"TA022","Creative Digital Media","260","318"
"TA023","Advertising and Marketing Communications","235","299"
"TA024","Early Childhood Care and Education","217","307"
"TA025","Social Care Practice","261","297"
"TA026","International Hospitality and Tourism Management","208","269"
"TA027","Botanical Cuisine","236","273"
"TA028","Digital Marketing Technologies","220","313"
"TA121","Accounting and Finance","202","328"
"TA122","Management","218","297"
"TA123","Marketing Management","207","284"
"TA125","International Business","229","300"
"TA221","Electronic Engineering","251","321"
"TA222","Mechanical Engineering","243","302"
"TA223","Sustainable Energy Engineering","236","305"
"TA224","Biomedical Design","218","324"
"TA225","Automation Engineering","235","288"
"TA226","Engineering Software","243","304"
"TA321","Pharmaceutical Science","261","298"
"TA322","Computing","200","294"
"TA323","Computing with IT Management","243","309"
"TA326","DNA and Forensic Analysis","300","362"
"TA327","Sports Science and Health","341","381"
